quantile,value,type,location,target,forecast_date,target_end_date
,13,point,28,2 wk ahead inc death,2020-06-21,2020-07-04
,7,point,28,3 wk ahead inc death,2020-06-21,2020-07-11
,3,point,28,4 wk ahead inc death,2020-06-21,2020-07-18
,2,point,30,1 wk ahead inc death,2020-06-21,2020-06-27
,4,point,30,2 wk ahead inc death,2020-06-21,2020-07-04
,6,point,30,3 wk ahead inc death,2020-06-21,2020-07-11
,10,point,30,4 wk ahead inc death,2020-06-21,2020-07-18
,77,point,37,1 wk ahead inc death,2020-06-21,2020-06-27
,65,point,37,2 wk ahead inc death,2020-06-21,2020-07-04
,54,point,37,3 wk ahead inc death,2020-06-21,2020-07-11
,42,point,37,4 wk ahead inc death,2020-06-21,2020-07-18
,4,point,38,1 wk ahead inc death,2020-06-21,2020-06-27
,3,point,38,2 wk ahead inc death,2020-06-21,2020-07-04
,3,point,38,3 wk ahead inc death,2020-06-21,2020-07-11
,3,point,38,4 wk ahead inc death,2020-06-21,2020-07-18
,16,point,31,1 wk ahead inc death,2020-06-21,2020-06-27
,13,point,31,2 wk ahead inc death,2020-06-21,2020-07-04
,10,point,31,3 wk ahead inc death,2020-06-21,2020-07-11
,7,point,31,4 wk ahead inc death,2020-06-21,2020-07-18
,16,point,33,1 wk ahead inc death,2020-06-21,2020-06-27
,11,point,33,2 wk ahead inc death,2020-06-21,2020-07-04
,8,point,33,3 wk ahead inc death,2020-06-21,2020-07-11
,5,point,33,4 wk ahead inc death,2020-06-21,2020-07-18
,214,point,34,1 wk ahead inc death,2020-06-21,2020-06-27
,154,point,34,2 wk ahead inc death,2020-06-21,2020-07-04
,113,point,34,3 wk ahead inc death,2020-06-21,2020-07-11
,81,point,34,4 wk ahead inc death,2020-06-21,2020-07-18
,29,point,35,1 wk ahead inc death,2020-06-21,2020-06-27
,25,point,35,2 wk ahead inc death,2020-06-21,2020-07-04
,21,point,35,3 wk ahead inc death,2020-06-21,2020-07-11
,16,point,35,4 wk ahead inc death,2020-06-21,2020-07-18
,32,point,32,1 wk ahead inc death,2020-06-21,2020-06-27
,41,point,32,2 wk ahead inc death,2020-06-21,2020-07-04
,54,point,32,3 wk ahead inc death,2020-06-21,2020-07-11
,70,point,32,4 wk ahead inc death,2020-06-21,2020-07-18
,246,point,36,1 wk ahead inc death,2020-06-21,2020-06-27
,191,point,36,2 wk ahead inc death,2020-06-21,2020-07-04
,150,point,36,3 wk ahead inc death,2020-06-21,2020-07-11
,114,point,36,4 wk ahead inc death,2020-06-21,2020-07-18
,148,point,39,1 wk ahead inc death,2020-06-21,2020-06-27
,156,point,39,2 wk ahead inc death,2020-06-21,2020-07-04
,177,point,39,3 wk ahead inc death,2020-06-21,2020-07-11
,205,point,39,4 wk ahead inc death,2020-06-21,2020-07-18
,21,point,40,1 wk ahead inc death,2020-06-21,2020-06-27
,39,point,40,2 wk ahead inc death,2020-06-21,2020-07-04
,75,point,40,3 wk ahead inc death,2020-06-21,2020-07-11
,138,point,40,4 wk ahead inc death,2020-06-21,2020-07-18
,12,point,41,1 wk ahead inc death,2020-06-21,2020-06-27
,11,point,41,2 wk ahead inc death,2020-06-21,2020-07-04
,9,point,41,3 wk ahead inc death,2020-06-21,2020-07-11
,8,point,41,4 wk ahead inc death,2020-06-21,2020-07-18
,162,point,42,1 wk ahead inc death,2020-06-21,2020-06-27
,129,point,42,2 wk ahead inc death,2020-06-21,2020-07-04
,98,point,42,3 wk ahead inc death,2020-06-21,2020-07-11
,74,point,42,4 wk ahead inc death,2020-06-21,2020-07-18
,29,point,44,1 wk ahead inc death,2020-06-21,2020-06-27
,19,point,44,2 wk ahead inc death,2020-06-21,2020-07-04
,12,point,44,3 wk ahead inc death,2020-06-21,2020-07-11
,8,point,44,4 wk ahead inc death,2020-06-21,2020-07-18
,84,point,45,1 wk ahead inc death,2020-06-21,2020-06-27
,118,point,45,2 wk ahead inc death,2020-06-21,2020-07-04
,166,point,45,3 wk ahead inc death,2020-06-21,2020-07-11
,230,point,45,4 wk ahead inc death,2020-06-21,2020-07-18
,5,point,46,1 wk ahead inc death,2020-06-21,2020-06-27
,5,point,46,2 wk ahead inc death,2020-06-21,2020-07-04
,4,point,46,3 wk ahead inc death,2020-06-21,2020-07-11
,4,point,46,4 wk ahead inc death,2020-06-21,2020-07-18
,51,point,47,1 wk ahead inc death,2020-06-21,2020-06-27
,47,point,47,2 wk ahead inc death,2020-06-21,2020-07-04
,43,point,47,3 wk ahead inc death,2020-06-21,2020-07-11
,38,point,47,4 wk ahead inc death,2020-06-21,2020-07-18
,270,point,48,1 wk ahead inc death,2020-06-21,2020-06-27
,378,point,48,2 wk ahead inc death,2020-06-21,2020-07-04
,542,point,48,3 wk ahead inc death,2020-06-21,2020-07-11
,788,point,48,4 wk ahead inc death,2020-06-21,2020-07-18
,24,point,49,1 wk ahead inc death,2020-06-21,2020-06-27
,28,point,49,2 wk ahead inc death,2020-06-21,2020-07-04
,34,point,49,3 wk ahead inc death,2020-06-21,2020-07-11
,38,point,49,4 wk ahead inc death,2020-06-21,2020-07-18
,53,point,51,1 wk ahead inc death,2020-06-21,2020-06-27
,44,point,51,2 wk ahead inc death,2020-06-21,2020-07-04
,38,point,51,3 wk ahead inc death,2020-06-21,2020-07-11
,32,point,51,4 wk ahead inc death,2020-06-21,2020-07-18
,1,point,50,1 wk ahead inc death,2020-06-21,2020-06-27
,0,point,50,2 wk ahead inc death,2020-06-21,2020-07-04
,0,point,50,3 wk ahead inc death,2020-06-21,2020-07-11
,0,point,50,4 wk ahead inc death,2020-06-21,2020-07-18
,62,point,53,1 wk ahead inc death,2020-06-21,2020-06-27
,66,point,53,2 wk ahead inc death,2020-06-21,2020-07-04
,76,point,53,3 wk ahead inc death,2020-06-21,2020-07-11
,80,point,53,4 wk ahead inc death,2020-06-21,2020-07-18
,44,point,55,1 wk ahead inc death,2020-06-21,2020-06-27
,43,point,55,2 wk ahead inc death,2020-06-21,2020-07-04
,44,point,55,3 wk ahead inc death,2020-06-21,2020-07-11
,42,point,55,4 wk ahead inc death,2020-06-21,2020-07-18
,3,point,54,1 wk ahead inc death,2020-06-21,2020-06-27
,3,point,54,2 wk ahead inc death,2020-06-21,2020-07-04
,4,point,54,3 wk ahead inc death,2020-06-21,2020-07-11
,4,point,54,4 wk ahead inc death,2020-06-21,2020-07-18
,2,point,56,1 wk ahead inc death,2020-06-21,2020-06-27
,2,point,56,2 wk ahead inc death,2020-06-21,2020-07-04
,3,point,56,3 wk ahead inc death,2020-06-21,2020-07-11
,3,point,56,4 wk ahead inc death,2020-06-21,2020-07-18
,123770,point,US,1 wk ahead cum death,2020-06-21,2020-06-27
,128404,point,US,2 wk ahead cum death,2020-06-21,2020-07-04
,133344,point,US,3 wk ahead cum death,2020-06-21,2020-07-11
,138728,point,US,4 wk ahead cum death,2020-06-21,2020-07-18
,13,point,02,1 wk ahead cum death,2020-06-21,2020-06-27
,14,point,02,2 wk ahead cum death,2020-06-21,2020-07-04
,14,point,02,3 wk ahead cum death,2020-06-21,2020-07-11
,15,point,02,4 wk ahead cum death,2020-06-21,2020-07-18
,904,point,01,1 wk ahead cum death,2020-06-21,2020-06-27
,981,point,01,2 wk ahead cum death,2020-06-21,2020-07-04
,1058,point,01,3 wk ahead cum death,2020-06-21,2020-07-11
,1133,point,01,4 wk ahead cum death,2020-06-21,2020-07-18
,265,point,05,1 wk ahead cum death,2020-06-21,2020-06-27
,318,point,05,2 wk ahead cum death,2020-06-21,2020-07-04
,379,point,05,3 wk ahead cum death,2020-06-21,2020-07-11
,445,point,05,4 wk ahead cum death,2020-06-21,2020-07-18
,1592,point,04,1 wk ahead cum death,2020-06-21,2020-06-27
,2038,point,04,2 wk ahead cum death,2020-06-21,2020-07-04
,2722,point,04,3 wk ahead cum death,2020-06-21,2020-07-11
,3764,point,04,4 wk ahead cum death,2020-06-21,2020-07-18
,5926,point,06,1 wk ahead cum death,2020-06-21,2020-06-27
,6438,point,06,2 wk ahead cum death,2020-06-21,2020-07-04
,6972,point,06,3 wk ahead cum death,2020-06-21,2020-07-11
,7542,point,06,4 wk ahead cum death,2020-06-21,2020-07-18
,1685,point,08,1 wk ahead cum death,2020-06-21,2020-06-27
,1724,point,08,2 wk ahead cum death,2020-06-21,2020-07-04
,1760,point,08,3 wk ahead cum death,2020-06-21,2020-07-11
,1794,point,08,4 wk ahead cum death,2020-06-21,2020-07-18
,4304,point,09,1 wk ahead cum death,2020-06-21,2020-06-27
,4338,point,09,2 wk ahead cum death,2020-06-21,2020-07-04
,4362,point,09,3 wk ahead cum death,2020-06-21,2020-07-11
,4377,point,09,4 wk ahead cum death,2020-06-21,2020-07-18
,544,point,11,1 wk ahead cum death,2020-06-21,2020-06-27
,553,point,11,2 wk ahead cum death,2020-06-21,2020-07-04
,560,point,11,3 wk ahead cum death,2020-06-21,2020-07-11
,564,point,11,4 wk ahead cum death,2020-06-21,2020-07-18
,447,point,10,1 wk ahead cum death,2020-06-21,2020-06-27
,459,point,10,2 wk ahead cum death,2020-06-21,2020-07-04
,472,point,10,3 wk ahead cum death,2020-06-21,2020-07-11
,484,point,10,4 wk ahead cum death,2020-06-21,2020-07-18
,3496,point,12,1 wk ahead cum death,2020-06-21,2020-06-27
,4106,point,12,2 wk ahead cum death,2020-06-21,2020-07-04
,5114,point,12,3 wk ahead cum death,2020-06-21,2020-07-11
,6854,point,12,4 wk ahead cum death,2020-06-21,2020-07-18
,2831,point,13,1 wk ahead cum death,2020-06-21,2020-06-27
,3078,point,13,2 wk ahead cum death,2020-06-21,2020-07-04
,3354,point,13,3 wk ahead cum death,2020-06-21,2020-07-11
,3634,point,13,4 wk ahead cum death,2020-06-21,2020-07-18
,17,point,15,1 wk ahead cum death,2020-06-21,2020-06-27
,19,point,15,2 wk ahead cum death,2020-06-21,2020-07-04
,21,point,15,3 wk ahead cum death,2020-06-21,2020-07-11
,25,point,15,4 wk ahead cum death,2020-06-21,2020-07-18
,713,point,19,1 wk ahead cum death,2020-06-21,2020-06-27
,743,point,19,2 wk ahead cum death,2020-06-21,2020-07-04
,772,point,19,3 wk ahead cum death,2020-06-21,2020-07-11
,799,point,19,4 wk ahead cum death,2020-06-21,2020-07-18
,92,point,16,1 wk ahead cum death,2020-06-21,2020-06-27
,97,point,16,2 wk ahead cum death,2020-06-21,2020-07-04
,103,point,16,3 wk ahead cum death,2020-06-21,2020-07-11
,111,point,16,4 wk ahead cum death,2020-06-21,2020-07-18
,6856,point,17,1 wk ahead cum death,2020-06-21,2020-06-27
,7060,point,17,2 wk ahead cum death,2020-06-21,2020-07-04
,7220,point,17,3 wk ahead cum death,2020-06-21,2020-07-11
,7342,point,17,4 wk ahead cum death,2020-06-21,2020-07-18
,2629,point,18,1 wk ahead cum death,2020-06-21,2020-06-27
,2720,point,18,2 wk ahead cum death,2020-06-21,2020-07-04
,2801,point,18,3 wk ahead cum death,2020-06-21,2020-07-11
,2871,point,18,4 wk ahead cum death,2020-06-21,2020-07-18
,267,point,20,1 wk ahead cum death,2020-06-21,2020-06-27
,279,point,20,2 wk ahead cum death,2020-06-21,2020-07-04
,292,point,20,3 wk ahead cum death,2020-06-21,2020-07-11
,307,point,20,4 wk ahead cum death,2020-06-21,2020-07-18
,546,point,21,1 wk ahead cum death,2020-06-21,2020-06-27
,568,point,21,2 wk ahead cum death,2020-06-21,2020-07-04
,586,point,21,3 wk ahead cum death,2020-06-21,2020-07-11
,601,point,21,4 wk ahead cum death,2020-06-21,2020-07-18
,3179,point,22,1 wk ahead cum death,2020-06-21,2020-06-27
,3261,point,22,2 wk ahead cum death,2020-06-21,2020-07-04
,3340,point,22,3 wk ahead cum death,2020-06-21,2020-07-11
,3410,point,22,4 wk ahead cum death,2020-06-21,2020-07-18
,8000,point,25,1 wk ahead cum death,2020-06-21,2020-06-27
,8126,point,25,2 wk ahead cum death,2020-06-21,2020-07-04
,8213,point,25,3 wk ahead cum death,2020-06-21,2020-07-11
,8276,point,25,4 wk ahead cum death,2020-06-21,2020-07-18
,3153,point,24,1 wk ahead cum death,2020-06-21,2020-06-27
,3228,point,24,2 wk ahead cum death,2020-06-21,2020-07-04
,3282,point,24,3 wk ahead cum death,2020-06-21,2020-07-11
,3318,point,24,4 wk ahead cum death,2020-06-21,2020-07-18
,104,point,23,1 wk ahead cum death,2020-06-21,2020-06-27
,107,point,23,2 wk ahead cum death,2020-06-21,2020-07-04
,108,point,23,3 wk ahead cum death,2020-06-21,2020-07-11
,110,point,23,4 wk ahead cum death,2020-06-21,2020-07-18
,6146,point,26,1 wk ahead cum death,2020-06-21,2020-06-27
,6207,point,26,2 wk ahead cum death,2020-06-21,2020-07-04
,6268,point,26,3 wk ahead cum death,2020-06-21,2020-07-11
,6332,point,26,4 wk ahead cum death,2020-06-21,2020-07-18
,1477,point,27,1 wk ahead cum death,2020-06-21,2020-06-27
,1540,point,27,2 wk ahead cum death,2020-06-21,2020-07-04
,1592,point,27,3 wk ahead cum death,2020-06-21,2020-07-11
,1636,point,27,4 wk ahead cum death,2020-06-21,2020-07-18
,1035,point,29,1 wk ahead cum death,2020-06-21,2020-06-27
,1142,point,29,2 wk ahead cum death,2020-06-21,2020-07-04
,1290,point,29,3 wk ahead cum death,2020-06-21,2020-07-11
,1478,point,29,4 wk ahead cum death,2020-06-21,2020-07-18
,961,point,28,1 wk ahead cum death,2020-06-21,2020-06-27
,976,point,28,2 wk ahead cum death,2020-06-21,2020-07-04
,983,point,28,3 wk ahead cum death,2020-06-21,2020-07-11
,988,point,28,4 wk ahead cum death,2020-06-21,2020-07-18
,22,point,30,1 wk ahead cum death,2020-06-21,2020-06-27
,25,point,30,2 wk ahead cum death,2020-06-21,2020-07-04
,31,point,30,3 wk ahead cum death,2020-06-21,2020-07-11
,41,point,30,4 wk ahead cum death,2020-06-21,2020-07-18
,1281,point,37,1 wk ahead cum death,2020-06-21,2020-06-27
,1350,point,37,2 wk ahead cum death,2020-06-21,2020-07-04
,1406,point,37,3 wk ahead cum death,2020-06-21,2020-07-11
,1450,point,37,4 wk ahead cum death,2020-06-21,2020-07-18
,80,point,38,1 wk ahead cum death,2020-06-21,2020-06-27
,84,point,38,2 wk ahead cum death,2020-06-21,2020-07-04
,87,point,38,3 wk ahead cum death,2020-06-21,2020-07-11
,90,point,38,4 wk ahead cum death,2020-06-21,2020-07-18
,258,point,31,1 wk ahead cum death,2020-06-21,2020-06-27
,272,point,31,2 wk ahead cum death,2020-06-21,2020-07-04
,283,point,31,3 wk ahead cum death,2020-06-21,2020-07-11
,292,point,31,4 wk ahead cum death,2020-06-21,2020-07-18
,353,point,33,1 wk ahead cum death,2020-06-21,2020-06-27
,365,point,33,2 wk ahead cum death,2020-06-21,2020-07-04
,374,point,33,3 wk ahead cum death,2020-06-21,2020-07-11
,380,point,33,4 wk ahead cum death,2020-06-21,2020-07-18
,13127,point,34,1 wk ahead cum death,2020-06-21,2020-06-27
,13290,point,34,2 wk ahead cum death,2020-06-21,2020-07-04
,13412,point,34,3 wk ahead cum death,2020-06-21,2020-07-11
,13498,point,34,4 wk ahead cum death,2020-06-21,2020-07-18
,494,point,35,1 wk ahead cum death,2020-06-21,2020-06-27
,520,point,35,2 wk ahead cum death,2020-06-21,2020-07-04
,543,point,35,3 wk ahead cum death,2020-06-21,2020-07-11
,560,point,35,4 wk ahead cum death,2020-06-21,2020-07-18
,514,point,32,1 wk ahead cum death,2020-06-21,2020-06-27
,556,point,32,2 wk ahead cum death,2020-06-21,2020-07-04
,610,point,32,3 wk ahead cum death,2020-06-21,2020-07-11
,681,point,32,4 wk ahead cum death,2020-06-21,2020-07-18
,31340,point,36,1 wk ahead cum death,2020-06-21,2020-06-27
,31539,point,36,2 wk ahead cum death,2020-06-21,2020-07-04
,31698,point,36,3 wk ahead cum death,2020-06-21,2020-07-11
,31818,point,36,4 wk ahead cum death,2020-06-21,2020-07-18
,2826,point,39,1 wk ahead cum death,2020-06-21,2020-06-27
,2985,point,39,2 wk ahead cum death,2020-06-21,2020-07-04
,3164,point,39,3 wk ahead cum death,2020-06-21,2020-07-11
,3361,point,39,4 wk ahead cum death,2020-06-21,2020-07-18
,386,point,40,1 wk ahead cum death,2020-06-21,2020-06-27
,422,point,40,2 wk ahead cum death,2020-06-21,2020-07-04
,493,point,40,3 wk ahead cum death,2020-06-21,2020-07-11
,623,point,40,4 wk ahead cum death,2020-06-21,2020-07-18
,199,point,41,1 wk ahead cum death,2020-06-21,2020-06-27
,210,point,41,2 wk ahead cum death,2020-06-21,2020-07-04
,220,point,41,3 wk ahead cum death,2020-06-21,2020-07-11
,228,point,41,4 wk ahead cum death,2020-06-21,2020-07-18
,6565,point,42,1 wk ahead cum death,2020-06-21,2020-06-27
,6698,point,42,2 wk ahead cum death,2020-06-21,2020-07-04
,6806,point,42,3 wk ahead cum death,2020-06-21,2020-07-11
,6885,point,42,4 wk ahead cum death,2020-06-21,2020-07-18
,919,point,44,1 wk ahead cum death,2020-06-21,2020-06-27
,941,point,44,2 wk ahead cum death,2020-06-21,2020-07-04
,954,point,44,3 wk ahead cum death,2020-06-21,2020-07-11
,963,point,44,4 wk ahead cum death,2020-06-21,2020-07-18
,724,point,45,1 wk ahead cum death,2020-06-21,2020-06-27
,837,point,45,2 wk ahead cum death,2020-06-21,2020-07-04
,999,point,45,3 wk ahead cum death,2020-06-21,2020-07-11
,1228,point,45,4 wk ahead cum death,2020-06-21,2020-07-18
,86,point,46,1 wk ahead cum death,2020-06-21,2020-06-27
,91,point,46,2 wk ahead cum death,2020-06-21,2020-07-04
,96,point,46,3 wk ahead cum death,2020-06-21,2020-07-11
,100,point,46,4 wk ahead cum death,2020-06-21,2020-07-18
,570,point,47,1 wk ahead cum death,2020-06-21,2020-06-27
,620,point,47,2 wk ahead cum death,2020-06-21,2020-07-04
,666,point,47,3 wk ahead cum death,2020-06-21,2020-07-11
,704,point,47,4 wk ahead cum death,2020-06-21,2020-07-18
,2415,point,48,1 wk ahead cum death,2020-06-21,2020-06-27
,2781,point,48,2 wk ahead cum death,2020-06-21,2020-07-04
,3299,point,48,3 wk ahead cum death,2020-06-21,2020-07-11
,4050,point,48,4 wk ahead cum death,2020-06-21,2020-07-18
,178,point,49,1 wk ahead cum death,2020-06-21,2020-06-27
,207,point,49,2 wk ahead cum death,2020-06-21,2020-07-04
,240,point,49,3 wk ahead cum death,2020-06-21,2020-07-11
,281,point,49,4 wk ahead cum death,2020-06-21,2020-07-18
,1657,point,51,1 wk ahead cum death,2020-06-21,2020-06-27
,1703,point,51,2 wk ahead cum death,2020-06-21,2020-07-04
,1743,point,51,3 wk ahead cum death,2020-06-21,2020-07-11
,1777,point,51,4 wk ahead cum death,2020-06-21,2020-07-18
,57,point,50,1 wk ahead cum death,2020-06-21,2020-06-27
,57,point,50,2 wk ahead cum death,2020-06-21,2020-07-04
,58,point,50,3 wk ahead cum death,2020-06-21,2020-07-11
,58,point,50,4 wk ahead cum death,2020-06-21,2020-07-18
,1322,point,53,1 wk ahead cum death,2020-06-21,2020-06-27
,1390,point,53,2 wk ahead cum death,2020-06-21,2020-07-04
,1468,point,53,3 wk ahead cum death,2020-06-21,2020-07-11
,1549,point,53,4 wk ahead cum death,2020-06-21,2020-07-18
,782,point,55,1 wk ahead cum death,2020-06-21,2020-06-27
,826,point,55,2 wk ahead cum death,2020-06-21,2020-07-04
,871,point,55,3 wk ahead cum death,2020-06-21,2020-07-11
,912,point,55,4 wk ahead cum death,2020-06-21,2020-07-18
,92,point,54,1 wk ahead cum death,2020-06-21,2020-06-27
,95,point,54,2 wk ahead cum death,2020-06-21,2020-07-04
,99,point,54,3 wk ahead cum death,2020-06-21,2020-07-11
,104,point,54,4 wk ahead cum death,2020-06-21,2020-07-18
,22,point,56,1 wk ahead cum death,2020-06-21,2020-06-27
,24,point,56,2 wk ahead cum death,2020-06-21,2020-07-04
,26,point,56,3 wk ahead cum death,2020-06-21,2020-07-11
,30,point,56,4 wk ahead cum death,2020-06-21,2020-07-18
,4978,point,US,1 wk ahead inc death,2020-06-28,2020-07-04
,5790,point,US,2 wk ahead inc death,2020-06-28,2020-07-11
,6978,point,US,3 wk ahead inc death,2020-06-28,2020-07-18
,8476,point,US,4 wk ahead inc death,2020-06-28,2020-07-25
,1,point,02,1 wk ahead inc death,2020-06-28,2020-07-04
,2,point,02,2 wk ahead inc death,2020-06-28,2020-07-11
,2,point,02,3 wk ahead inc death,2020-06-28,2020-07-18
,3,point,02,4 wk ahead inc death,2020-06-28,2020-07-25
,79,point,01,1 wk ahead inc death,2020-06-28,2020-07-04
,79,point,01,2 wk ahead inc death,2020-06-28,2020-07-11
,76,point,01,3 wk ahead inc death,2020-06-28,2020-07-18
,76,point,01,4 wk ahead inc death,2020-06-28,2020-07-25
,50,point,05,1 wk ahead inc death,2020-06-28,2020-07-04
,54,point,05,2 wk ahead inc death,2020-06-28,2020-07-11
,60,point,05,3 wk ahead inc death,2020-06-28,2020-07-18
,61,point,05,4 wk ahead inc death,2020-06-28,2020-07-25
,352,point,04,1 wk ahead inc death,2020-06-28,2020-07-04
,464,point,04,2 wk ahead inc death,2020-06-28,2020-07-11
,616,point,04,3 wk ahead inc death,2020-06-28,2020-07-18
,770,point,04,4 wk ahead inc death,2020-06-28,2020-07-25
,486,point,06,1 wk ahead inc death,2020-06-28,2020-07-04
,519,point,06,2 wk ahead inc death,2020-06-28,2020-07-11
,568,point,06,3 wk ahead inc death,2020-06-28,2020-07-18
,610,point,06,4 wk ahead inc death,2020-06-28,2020-07-25
,34,point,08,1 wk ahead inc death,2020-06-28,2020-07-04
,36,point,08,2 wk ahead inc death,2020-06-28,2020-07-11
,41,point,08,3 wk ahead inc death,2020-06-28,2020-07-18
,46,point,08,4 wk ahead inc death,2020-06-28,2020-07-25
,38,point,09,1 wk ahead inc death,2020-06-28,2020-07-04
,27,point,09,2 wk ahead inc death,2020-06-28,2020-07-11
,20,point,09,3 wk ahead inc death,2020-06-28,2020-07-18
,14,point,09,4 wk ahead inc death,2020-06-28,2020-07-25
,11,point,11,1 wk ahead inc death,2020-06-28,2020-07-04
,8,point,11,2 wk ahead inc death,2020-06-28,2020-07-11
,6,point,11,3 wk ahead inc death,2020-06-28,2020-07-18
,4,point,11,4 wk ahead inc death,2020-06-28,2020-07-25
,43,point,10,1 wk ahead inc death,2020-06-28,2020-07-04
,44,point,10,2 wk ahead inc death,2020-06-28,2020-07-11
,44,point,10,3 wk ahead inc death,2020-06-28,2020-07-18
,40,point,10,4 wk ahead inc death,2020-06-28,2020-07-25
,544,point,12,1 wk ahead inc death,2020-06-28,2020-07-04
,1037,point,12,2 wk ahead inc death,2020-06-28,2020-07-11
,2044,point,12,3 wk ahead inc death,2020-06-28,2020-07-18
,3743,point,12,4 wk ahead inc death,2020-06-28,2020-07-25
,248,point,13,1 wk ahead inc death,2020-06-28,2020-07-04
,348,point,13,2 wk ahead inc death,2020-06-28,2020-07-11
,527,point,13,3 wk ahead inc death,2020-06-28,2020-07-18
,746,point,13,4 wk ahead inc death,2020-06-28,2020-07-25
,1,point,15,1 wk ahead inc death,2020-06-28,2020-07-04
,1,point,15,2 wk ahead inc death,2020-06-28,2020-07-11
,2,point,15,3 wk ahead inc death,2020-06-28,2020-07-18
,3,point,15,4 wk ahead inc death,2020-06-28,2020-07-25
,24,point,19,1 wk ahead inc death,2020-06-28,2020-07-04
,26,point,19,2 wk ahead inc death,2020-06-28,2020-07-11
,29,point,19,3 wk ahead inc death,2020-06-28,2020-07-18
,33,point,19,4 wk ahead inc death,2020-06-28,2020-07-25
,5,point,16,1 wk ahead inc death,2020-06-28,2020-07-04
,8,point,16,2 wk ahead inc death,2020-06-28,2020-07-11
,14,point,16,3 wk ahead inc death,2020-06-28,2020-07-18
,21,point,16,4 wk ahead inc death,2020-06-28,2020-07-25
,209,point,17,1 wk ahead inc death,2020-06-28,2020-07-04
,189,point,17,2 wk ahead inc death,2020-06-28,2020-07-11
,176,point,17,3 wk ahead inc death,2020-06-28,2020-07-18
,166,point,17,4 wk ahead inc death,2020-06-28,2020-07-25
,85,point,18,1 wk ahead inc death,2020-06-28,2020-07-04
,85,point,18,2 wk ahead inc death,2020-06-28,2020-07-11
,88,point,18,3 wk ahead inc death,2020-06-28,2020-07-18
,87,point,18,4 wk ahead inc death,2020-06-28,2020-07-25
,16,point,20,1 wk ahead inc death,2020-06-28,2020-07-04
,21,point,20,2 wk ahead inc death,2020-06-28,2020-07-11
,30,point,20,3 wk ahead inc death,2020-06-28,2020-07-18
,38,point,20,4 wk ahead inc death,2020-06-28,2020-07-25
,29,point,21,1 wk ahead inc death,2020-06-28,2020-07-04
,29,point,21,2 wk ahead inc death,2020-06-28,2020-07-11
,29,point,21,3 wk ahead inc death,2020-06-28,2020-07-18
,29,point,21,4 wk ahead inc death,2020-06-28,2020-07-25
,108,point,22,1 wk ahead inc death,2020-06-28,2020-07-04
,128,point,22,2 wk ahead inc death,2020-06-28,2020-07-11
,156,point,22,3 wk ahead inc death,2020-06-28,2020-07-18
,186,point,22,4 wk ahead inc death,2020-06-28,2020-07-25
,151,point,25,1 wk ahead inc death,2020-06-28,2020-07-04
,122,point,25,2 wk ahead inc death,2020-06-28,2020-07-11
,103,point,25,3 wk ahead inc death,2020-06-28,2020-07-18
,85,point,25,4 wk ahead inc death,2020-06-28,2020-07-25
,82,point,24,1 wk ahead inc death,2020-06-28,2020-07-04
,65,point,24,2 wk ahead inc death,2020-06-28,2020-07-11
,54,point,24,3 wk ahead inc death,2020-06-28,2020-07-18
,43,point,24,4 wk ahead inc death,2020-06-28,2020-07-25
,3,point,23,1 wk ahead inc death,2020-06-28,2020-07-04
,3,point,23,2 wk ahead inc death,2020-06-28,2020-07-11
,4,point,23,3 wk ahead inc death,2020-06-28,2020-07-18
,4,point,23,4 wk ahead inc death,2020-06-28,2020-07-25
,69,point,26,1 wk ahead inc death,2020-06-28,2020-07-04
,75,point,26,2 wk ahead inc death,2020-06-28,2020-07-11
,92,point,26,3 wk ahead inc death,2020-06-28,2020-07-18
,104,point,26,4 wk ahead inc death,2020-06-28,2020-07-25
,48,point,27,1 wk ahead inc death,2020-06-28,2020-07-04
,40,point,27,2 wk ahead inc death,2020-06-28,2020-07-11
,36,point,27,3 wk ahead inc death,2020-06-28,2020-07-18
,31,point,27,4 wk ahead inc death,2020-06-28,2020-07-25
,51,point,29,1 wk ahead inc death,2020-06-28,2020-07-04
,46,point,29,2 wk ahead inc death,2020-06-28,2020-07-11
,41,point,29,3 wk ahead inc death,2020-06-28,2020-07-18
,35,point,29,4 wk ahead inc death,2020-06-28,2020-07-25
,78,point,28,1 wk ahead inc death,2020-06-28,2020-07-04
,88,point,28,2 wk ahead inc death,2020-06-28,2020-07-11
,102,point,28,3 wk ahead inc death,2020-06-28,2020-07-18
,116,point,28,4 wk ahead inc death,2020-06-28,2020-07-25
,2,point,30,1 wk ahead inc death,2020-06-28,2020-07-04
,3,point,30,2 wk ahead inc death,2020-06-28,2020-07-11
,4,point,30,3 wk ahead inc death,2020-06-28,2020-07-18
,5,point,30,4 wk ahead inc death,2020-06-28,2020-07-25
,108,point,37,1 wk ahead inc death,2020-06-28,2020-07-04
,104,point,37,2 wk ahead inc death,2020-06-28,2020-07-11
,100,point,37,3 wk ahead inc death,2020-06-28,2020-07-18
,96,point,37,4 wk ahead inc death,2020-06-28,2020-07-25
,3,point,38,1 wk ahead inc death,2020-06-28,2020-07-04
,2,point,38,2 wk ahead inc death,2020-06-28,2020-07-11
,2,point,38,3 wk ahead inc death,2020-06-28,2020-07-18
,2,point,38,4 wk ahead inc death,2020-06-28,2020-07-25
,16,point,31,1 wk ahead inc death,2020-06-28,2020-07-04
,14,point,31,2 wk ahead inc death,2020-06-28,2020-07-11
